PuzzleId,FEN,Moves,Rating,Themes
0BjAV,5R2/8/P7/8/6k1/2b3pp/8/7K w - - 2 52,a6a7 g3g2 h1h2 c3e5 h2g1 e5d4 f8f2 g4g3 a7a8q h3h2,2273,['advancedPawn' 'endgame' 'exposedKing' 'mate' 'mateIn5' 'pin' 'veryLong']
0C0Cp,3q1r1k/3Q2pp/4B3/4P3/3P3n/4b3/3N1P1P/5RK1 w - - 0 26,f2e3 d8g5 e6g4 g5e3 g1h1 f8f1 d2f1 e3e4 g4f3 e4f3 h1g1 f3g2,1882,['deflection' 'fork' 'mate' 'mateIn5' 'middlegame' 'veryLong']
0CULL,5rk1/pBp2ppp/5n2/5q2/Q3r3/2B4P/PP2nPPK/R3R3 w - - 3 18,b7e4 f6g4 h3g4 f5f4 g2g3 f4f2 e4g2 f2g3 h2h1 g3h4 g2h3 h4h3,2243,['mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
0CYaa,2r2r1k/4b1pp/4Q3/q2pp1P1/1p1pP3/1P1P4/1PP2PK1/2B4R b - - 3 27,a5c7 h1h7 h8h7 g5g6 h7h8 e6h3 e7h4 h3h4 h8g8 h4h7,1868,"['attraction' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
0FVlD,2kr3r/ppp2p2/2n5/2Pp2p1/1P1P2n1/4P1Pq/1P2NPNP/R1BQR1K1 w - - 4 18,f2f3 h3h2 g1f1 h2h1 e2g1 h1g2 f1g2 h8h2 g2f1 h2f2,2438,"['attraction' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
0G1P5,r1bq1r2/pp1nb1pk/2n1pp2/2ppP1N1/3P3P/P1P5/1P1N1PP1/R1BQK2R b KQ - 1 11,f6g5 h4g5 h7g8 h1h8 g8h8 d1h5 h8g8 g5g6 d7f6 e5f6 f8f6 h5h7 g8f8 h7h8,2089,"['attraction' 'discoveredAttack' 'mate' 'mateIn5' 'opening' 'sacrifice'
 'veryLong']"
0GKwj,5rk1/5ppp/1qb5/8/4nQ1N/8/4r1PP/1R3R1K b - - 14 32,b6d4 f4f7 f8f7 b1b8 d4d8 b8d8 c6e8 d8e8 f7f8 f1f8,1098,['mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
0Gayy,3q2rk/1b3Rr1/8/2p5/2BP3P/2P3P1/P4PK1/2Q4R w - - 1 33,g2h2 d8h4 g3h4 g7g2 h2h3 b7c8 f7d7 c8d7 c4e6 d7e6,1628,['mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
0HLAQ,3r1rk1/pbp1qppp/1p2p3/4b3/2PB2Q1/5P1N/PP2KP1P/3R2R1 b - - 6 19,e5f6 g4g7 f6g7 g1g7 g8h8 g7g8 h8g8 d1g1 e7g5 g1g5,2261,"['attraction' 'doubleCheck' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
0HdH1,5r1k/6p1/2QBB2p/3Pb1q1/4p3/4P1p1/1P3P1P/2R3K1 w - - 0 35,f2g3 g5e3 g1g2 f8f2 g2h3 f2h2 h3h2 e3g3 h2h1 g3h2,2162,['attraction' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
0Inzg,6rk/1Q4pp/5nrq/p4p2/1b1BpP2/4P1PP/PP1N3K/3R2R1 w - - 14 33,d2c4 f6g4 h2g2 h6h3 g2h3 g6h6 h3g2 h6h2 g2f1 h2f2,2020,['attraction' 'mate' 'mateIn5' 'middlegame' 'pin' 'sacrifice' 'veryLong']
0JdqI,8/4Rp1k/p5pp/3q4/8/P3Q1PP/5P1K/3r4 w - - 6 41,g3g4 d1h1 h2g3 h1g1 g3h4 d5h5 g4h5 g6g5 e3g5 h6g5,2343,['endgame' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
0JhHh,3RQ3/5pk1/5pp1/p6p/P7/1Br3KP/5PP1/6q1 w - - 8 35,f2f3 h5h4 g3h4 g1f2 g2g3 g6g5 h4h5 f2f3 g3g4 f3h3,1913,['attraction' 'endgame' 'mate' 'mateIn5' 'veryLong']
0K4vt,2Q5/4b3/r3r1pk/5p2/p3p3/8/1P3PPK/8 b - - 1 44,a6c6 c8h8 h6g5 g2g3 g5g4 h2g2 f5f4 h8h3 g4g5 h3h4 g5f5 h4f4,2255,['endgame' 'mate' 'mateIn5' 'quietMove' 'veryLong']
0LStG,r2q1rk1/2pb2p1/3p3p/p1pPpn2/2P3Pb/P1NQBP1P/1PB2R2/R5K1 b - - 0 21,f5e3 d3h7 g8f7 c2g6 f7f6 c3e4 f6e7 h7g7 f8f7 g7f7,1579,['deflection' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'veryLong']
0M5Ln,2rk2r1/1R3p2/R1n1p3/3pP3/Q1pP1q1p/2P1nN1P/5BP1/6K1 w - - 8 27,a6c6 g8g2 g1h1 g2h2 f3h2 f4e4 h2f3 e4f3 h1g1 f3g2,1971,['fork' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
0MvjA,r1bqk2r/1p1n1pp1/p7/3p3p/3Pp1n1/1PN1PP2/P2NB1PK/R1BQ1R2 w kq - 1 13,f3g4 h5g4 h2g1 h8h1 g1h1 d8h4 h1g1 g4g3 d2f3 e4f3 f1f3 h4h2 g1f1 h2h1,2309,"['attraction' 'discoveredAttack' 'mate' 'mateIn5' 'opening' 'sacrifice'
 'veryLong']"
0Ngid,6k1/8/p3q3/1pQ1n1B1/2Pp4/PP1P2P1/5P2/6K1 w - - 1 37,f2f4 e5f3 g1f1 e6e1 f1g2 e1e2 g2h3 f3g1 h3h4 e2h2 h4g4 h2h3,2254,['endgame' 'exposedKing' 'mate' 'mateIn5' 'veryLong']
0ObD2,5r1k/7r/q1p1p3/p2nQ3/3P2N1/2P4P/5P2/1R5K b - - 7 36,h8g8 g4h6 h7h6 b1g1 g8f7 g1g7 f7e8 e5b8 a6c8 b8c8,2420,"['exposedKing' 'master' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
0PbDU,6k1/1R3p2/1N1b2p1/1P1p1p2/3P2qp/2P3P1/1Q3P1P/6K1 w - - 0 29,b6d7 g4d1 g1g2 h4h3 g2h3 d1f1 h3h4 d6e7 d7f6 e7f6,1995,['attraction' 'endgame' 'mate' 'mateIn5' 'veryLong']
0PhbW,3r1rk1/4R2p/p4pp1/1p1N4/4QPPb/8/P4q1P/3R3K b - - 1 27,f6f5 d5f6 h4f6 e4e6 g8h8 e6f6 f8f6 d1d8 f6f8 d8f8,2494,['deflection' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
0RIA8,r1b2r2/1pp2k2/p1p2pNQ/8/3P4/7P/PPP3PK/q7 b - - 0 24,c8f5 h6h7 f7e6 h7e7 e6d5 g6f4 d5d4 c2c3 d4c4 e7b4,2286,['endgame' 'mate' 'mateIn5' 'veryLong']
0SPDT,3r2k1/1q4pp/p1b1r3/1p2p3/2P2Q2/P1B5/B1P3PP/4R1RK w - - 0 29,e1e5 c6g2 g1g2 d8d1 c3e1 d1e1 e5e1 e6e1 f4f1 e1f1,1178,"['kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong'
 'xRayAttack']"
0TDcA,3rr1k1/1b3p2/5P1p/1p2qNp1/p1p1p3/P3QP1B/1P5P/6RK b - - 1 34,e4f3 g1g5 g8f8 g5g8 f8g8 e3g1 e5g3 g1g3 g8h8 g3g7,2292,"['attraction' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
0TwfH,8/1Q5p/2p1Q1pk/4Ppq1/3Pp3/4P1br/6P1/2B2RK1 w - - 0 36,f1f5 h3h1 g1h1 g5h4 h1g1 h4h2 g1f1 h2h1 f1e2 h1e1,2055,['attraction' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
0UNli,2b2rk1/1pp2ppp/2qb4/7Q/2PB4/1P6/2P2PP1/5KR1 b - - 2 19,g7g6 h5h7 g8h7 g1h1 d6h2 h1h2 c8h3 h2h3 h7g8 h3h8,2000,['attraction' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
0UR61,r4k2/7q/p3p1Rp/1p1pP2Q/2nP2P1/2P4N/PPn4P/7K w - - 3 29,g6h6 h7e4 h1g1 e4e1 g1g2 c2e3 g2f3 c4d2 f3f4 e1f1 h3f2 f1f2 f4g5 d2e4 g5g6 f2f7,2555,['kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'veryLong']
0UlS3,q4r2/4bpkp/p1p2p1N/3p1QP1/3P4/7P/2n3R1/6K1 b - - 2 30,f6g5 g2g5 g7h8 f5e5 f7f6 e5e7 f6g5 e7e5 f8f6 e5f6,2167,['fork' 'mate' 'mateIn5' 'middlegame' 'veryLong']
0V0dH,2kr4/2pr4/ppQ2p1n/N5pp/4B3/1P3PP1/P6P/2Rq3K w - - 2 31,c1d1 d7d1 h1g2 d8d2 g2h3 g5g4 f3g4 h5g4 h3h4 d2h2,1175,['kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'veryLong']
0VqTM,2rr1k2/Q7/p3p1p1/4Pb2/1p2qPR1/1P6/PBP5/1KR5 w - - 7 43,g4h4 e4c2 c1c2 f5c2 b1a1 d8d1 b2c1 d1c1 a1b2 c1b1,2309,"['master' 'masterVsMaster' 'mate' 'mateIn5' 'middlegame' 'queensideAttack'
 'sacrifice' 'veryLong']"
0VrUm,r1bq1r2/pp1nb1pk/2n1pp2/3pP1N1/2pP3P/2P5/PP2QPP1/RNB1K2R b KQ - 1 12,f6g5 h4g5 h7g8 h1h8 g8h8 e2h5 h8g8 g5g6 d7f6 e5f6 f8f6 h5h7 g8f8 h7h8,2102,"['attraction' 'discoveredAttack' 'mate' 'mateIn5' 'opening' 'sacrifice'
 'veryLong']"
0Vsax,r1bqk2r/3n1pp1/p1p5/1p1p3p/2PPp1n1/PPN1PP2/1B1NB1PK/R2Q1R2 w kq - 1 14,f3g4 h5g4 h2g1 h8h1 g1h1 d8h4 h1g1 g4g3 d2f3 e4f3 f1f3 h4h2 g1f1 h2h1,2188,"['attraction' 'discoveredAttack' 'master' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
0W6P5,1kqr3r/Rp3pp1/1pQp4/1P6/2PN2n1/8/5PP1/5RK1 w - - 6 28,c6b6 h8h1 g1h1 d8h8 h1g1 h8h1 g1h1 c8h8 h1g1 h8h2,1544,['attraction' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
0YdWE,6r1/1p4k1/1b1pR1B1/pP1P4/P2q2pQ/6P1/5r1P/5RK1 w - - 1 39,e6e7 f2f7 g1g2 d4d2 g2h1 d2d5 g6e4 d5e4 e7e4 f7f1 h1g2 f1g1,2397,['discoveredAttack' 'mate' 'mateIn5' 'middlegame' 'veryLong']
0ZAXG,2r1r1k1/p1q3pR/4p3/4bpN1/1p6/P4P2/5PK1/1Q1R4 b - - 1 26,c7e7 h7h8 g8h8 d1h1 e5h2 h1h2 h8g8 h2h8 g8h8 b1h1 h8g8 h1h7 g8f8 h7h8,1578,['attraction' 'mate' 'mateIn5' 'middlegame' 'sacrifice' 'veryLong']
0bJeC,3Q1k2/4pr1B/b7/2Pp4/1p4P1/1Pb1PP2/2P2K2/7q b - - 1 32,f8g7 d8g8 g7f6 g8g6 f6e5 g6g5 e5e6 h7f5 f7f5 g5f5,2630,['endgame' 'exposedKing' 'mate' 'mateIn5' 'veryLong']
0bh9U,r4rk1/p1p2ppp/2N1p3/3p4/3P2P1/3QP2b/PPP2q2/2KR4 b - - 1 19,h3g4 c6e7 g8h8 d3h7 h8h7 d1h1 g4h3 h1h3 f2h4 h3h4,1794,"['anastasiaMate' 'attraction' 'kingsideAttack' 'mate' 'mateIn5'
 'middlegame' 'sacrifice' 'veryLong']"
0f37X,6k1/8/6p1/3R1p2/6K1/3Q1P1P/P4qP1/4r3 w - - 0 38,g4g5 f2g3 g5f6 g3h4 f6g6 e1e6 g6f5 e6f6 f5e5 h4f4,2147,['endgame' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
0f3zy,6k1/1R4pp/4pn1r/3pN3/3P1PK1/4P3/5r1P/4R3 w - - 7 40,g4g3 f6e4 g3g4 h6h4 g4h4 f2h2 h4g4 h7h5 g4f3 h2f2,2361,"['attraction' 'endgame' 'hookMate' 'master' 'mate' 'mateIn5' 'sacrifice'
 'veryLong']"
0fbrq,1r3k2/R7/3b1B1p/2p5/8/1B2P1P1/1p3PKP/3r4 b - - 2 38,b2b1q f6g7 f8e8 b3f7 e8d8 g7f6 d6e7 f6e7 d8c8 f7e6 d1d7 e6d7,1867,['exposedKing' 'mate' 'mateIn5' 'middlegame' 'veryLong']
0fvBz,K1k5/8/P7/6p1/8/7P/8/8 w - - 3 70,a6a7 c8c7 h3h4 g5g4 h4h5 g4g3 h5h6 g3g2 h6h7 g2g1q h7h8q g1g2,1713,"['advancedPawn' 'endgame' 'mate' 'mateIn5' 'pawnEndgame' 'promotion'
 'quietMove' 'veryLong' 'zugzwang']"
0g5p7,r1k1r3/pp1n2pp/2R5/B2b1pN1/4B2q/5P2/1P2Q3/2R2K2 b - - 0 26,b7c6 c1c6 d5c6 e2a6 c8b8 a5c7 b8c7 a6c6 c7d8 g5f7 d8e7 c6d6 e7f7 e4d5 e8e6 d6e6 f7f8 e6f7,2593,"['attraction' 'exposedKing' 'fork' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
0gccA,r1b1k1r1/1p3p1p/p1pp1Q2/8/3NqP1n/1P2N3/PBP3PP/4RRK1 w q - 1 19,e3f5 g8g2 g1h1 g2e2 d4f3 e4f3 f1f3 e2e1 f3f1 e1f1,2130,"['deflection' 'discoveredAttack' 'kingsideAttack' 'mate' 'mateIn5'
 'middlegame' 'veryLong']"
0j6AL,r1b3k1/ppq2r2/2p1p3/5p2/2P3P1/1R4b1/PP1NQ1P1/1B3R1K w - - 1 24,f1f3 f7h7 h1g1 h7h1 g1h1 c7h7 h1g1 h7h2 g1f1 h2h1,1690,"['attraction' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
0lr3Y,4rrk1/5ppp/3p4/1p1P1N2/p5Q1/3P3P/Pq4P1/5RK1 b - - 1 23,e8e2 f5h6 g8h8 h6f7 f8f7 g4c8 e2e8 c8e8 f7f8 f1f8,1993,"['backRankMate' 'deflection' 'endgame' 'fork' 'mate' 'mateIn5' 'pin'
 'sacrifice' 'veryLong']"
0mk2K,1rr3k1/p4p1p/6p1/q3P3/3P2b1/PP3R2/1KP4Q/7R b - - 1 29,g4f3 h2h7 g8f8 h7h8 f8e7 h8f6 e7e8 h1h8 e8d7 f6d6,1316,['endgame' 'fork' 'mate' 'mateIn5' 'veryLong']
0pnY5,r4rk1/1p3ppp/p2p4/2nNp3/2BnPqb1/8/PPPN1P2/2K3RR b - - 5 19,f4f2 d5e7 g8h8 h1h7 h8h7 g1h1 f2h4 h1h4 g4h5 h4h5,1471,"['anastasiaMate' 'attraction' 'fork' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
0q9MG,3r4/pbN5/1pn2k1p/1B4p1/1P1bn3/P4KB1/5PPP/3R2NR w - - 5 21,g1e2 e4d2 f3g4 h6h5 g4h5 d8h8 h5g4 b7c8 c7e6 c8e6,2437,['attraction' 'exposedKing' 'mate' 'mateIn5' 'middlegame' 'veryLong']
0qUKl,r1b5/ppqp1Rk1/2n4p/2NR4/Q7/2P1r3/PP2B1Pb/7K b - - 0 26,g7f7 d5f5 f7e8 e2h5 e8e7 a4h4 e7d6 h4f6 e3e6 c5e4,2726,['exposedKing' 'mate' 'mateIn5' 'middlegame' 'pin' 'veryLong']
0qhPZ,r1b2rkR/pp4p1/4p1Q1/q2pPpP1/2pn4/2b5/PPP1BPP1/2KR4 b - - 1 19,g8h8 d1h1 h8g8 g6h7 g8f7 e2h5 f7e7 h7g7 f8f7 g7f7 e7d8 f7f8 d8c7 f8d6,2647,"['deflection' 'dovetailMate' 'kingsideAttack' 'mate' 'mateIn5'
 'middlegame' 'veryLong']"
0tRET,2r1rR2/1b2k1pp/p3p2B/1p2P3/8/PNqP2Q1/6PP/6K1 b - - 0 24,e8f8 g3g7 f8f7 h6g5 e7e8 g7g8 e8d7 g8f7 d7c6 f7e6 c6c7 e6d6,1710,['deflection' 'mate' 'mateIn5' 'middlegame' 'veryLong']
0udPQ,3Q2r1/R3pk2/pB1p4/1p1b4/3P4/N7/P6P/5Kr1 w - - 1 34,f1f2 g8g2 f2e3 g1e1 e3d3 d5e4 d3c3 e1e3 c3b4 g2b2 b4a5 e3a3,2380,['deflection' 'exposedKing' 'mate' 'mateIn5' 'middlegame' 'veryLong']
0uzf7,r1bq3r/pp1k2p1/2p1p3/4P1b1/3P2P1/2P2Qp1/PPB3P1/R1B2RK1 w - - 3 20,c1g5 h8h1 g1h1 d8h8 c2h7 h8h7 g5h4 h7h4 h1g1 h4h2,1625,"['attraction' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
0wVZb,r2r3k/ppRbq1pp/8/3pNQ1P/3P4/8/P4PP1/2K4R b - - 0 25,a8c8 e5g6 h7g6 h5g6 h8g8 h1h8 g8h8 f5h5 h8g8 h5h7 g8f8 h7h8,2132,"['attraction' 'discoveredAttack' 'kingsideAttack' 'mate' 'mateIn5'
 'middlegame' 'sacrifice' 'veryLong']"
0x2L9,2R2rk1/p4pp1/5n2/1p1q1PN1/8/1r1p1P1Q/1P5P/2R4K b - - 1 31,d3d2 h3h8 g8h8 c8f8 f6g8 f8g8 h8g8 c1c8 d5d8 c8d8,2113,"['attraction' 'deflection' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
0xulG,1k6/P7/1K5p/6p1/6P1/8/8/8 b - - 0 54,b8a8 b6a6 h6h5 g4h5 g5g4 h5h6 g4g3 h6h7 g3g2 h7h8q,1174,"['advancedPawn' 'endgame' 'mate' 'mateIn5' 'pawnEndgame' 'promotion'
 'veryLong']"
0yxeU,r3kb1r/pp2qppp/2p5/3P4/Q1P2B2/3P1b2/PP4PP/RN3RK1 w kq - 0 16,f1f3 e7e1 f3f1 f8c5 d3d4 c5d4 f4e3 d4e3 g1h1 e1f1,1160,['clearance' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'veryLong']
0zuzr,5rk1/pR3ppp/5q2/2p2P2/2QbB3/r7/5PPP/5RK1 b - - 5 23,f6h4 c4f7 f8f7 b7b8 h4d8 b8d8 f7f8 e4d5 g8h8 d8f8,1650,"['backRankMate' 'deflection' 'mate' 'mateIn5' 'middlegame' 'pin'
 'sacrifice' 'veryLong']"
11WvJ,2R5/1p3kpp/p2p2r1/1b1Pnp1q/1P1Qp3/P3P1PP/1B3PB1/6K1 w - - 1 26,d4b6 h5d1 g1h2 e5g4 h3g4 g6h6 g2h3 h6h3 h2h3 d1h1,2080,"['attraction' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
11dZg,6k1/1PQ2p2/6q1/4P3/6K1/2Pn1PB1/6PP/8 w - - 5 44,g4h3 g6h5 g3h4 h5f5 g2g4 f5f3 h4g3 d3f2 h3h4 f3g4,2493,['deflection' 'endgame' 'exposedKing' 'mate' 'mateIn5' 'veryLong']
11fKP,r1b1k3/pppp1p1Q/2n2q2/4p3/2B1P3/2N4N/PPPP1brP/R1B1K2R w KQq - 0 9,h3f2 f6f2 e1d1 g2g1 h1g1 f2g1 d1e2 c6d4 e2d3 g1f1 c3e2 f1f3,2368,['attackingF2F7' 'mate' 'mateIn5' 'middlegame' 'veryLong']
13GNC,2r2rk1/p5p1/1p2p2p/1qPpPn1Q/1P3PR1/P3B3/7P/R6K b - - 0 26,f5e3 g4g7 g8g7 a1g1 e3g2 g1g2 g7h7 h5g6 h7h8 g6h6,1720,"['attraction' 'deflection' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame'
 'sacrifice' 'veryLong']"
13VkI,8/7k/p3p2B/1pP1P3/1Pn1p1Nq/P2r3P/2K5/2Q5 b - - 1 45,h4h3 g4f6 h7h8 h6g7 h8g7 c1g5 g7f8 g5g8 f8e7 g8e8,1692,"['attraction' 'endgame' 'exposedKing' 'mate' 'mateIn5' 'sacrifice'
 'veryLong']"
13qoZ,2br2k1/1q3p1p/p7/3pP1PR/p1rN4/2bQ1P2/1PP4K/6R1 b - - 0 36,c3d4 d3h7 g8f8 h7h8 f8e7 h8f6 e7d7 f6d6 d7e8 h5h8,1648,['kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'veryLong']
1432y,rn1q2k1/pp3Q2/2p3p1/6Pr/3P4/5R2/PP4P1/R5K1 b - - 2 24,g8h8 f7f8 d8f8 f3f8 h8g7 a1f1 h5g5 f1f7 g7h6 f8h8,2301,['exposedKing' 'mate' 'mateIn5' 'middlegame' 'quietMove' 'veryLong']
149MG,r1br4/1p2kp2/p1p1p2Q/2P1q1p1/8/6P1/PPB3PP/5R1K b - - 2 23,c8d7 f1f7 e7f7 c2g6 f7f6 g6h5 f6e7 h6h7 e5g7 h7g7,2218,"['attraction' 'discoveredAttack' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
14YNX,rn1q1r2/pbpnb1pk/1p2pp2/3pP1N1/3P3P/2P5/PP1N1PP1/R1BQK2R b KQ - 1 11,f6g5 h4g5 h7g8 h1h8 g8h8 d1h5 h8g8 g5g6 d7f6 e5f6 f8f6 h5h7 g8f8 h7h8,2267,"['attraction' 'discoveredAttack' 'mate' 'mateIn5' 'opening' 'sacrifice'
 'veryLong']"
156iA,6k1/pp3p1p/3b1qp1/1P6/8/7Q/4rPPP/R4RK1 w - - 1 24,a1a7 f6f2 f1f2 e2e1 f2f1 d6c5 h3e3 c5e3 g1h1 e1f1,1994,['backRankMate' 'endgame' 'fork' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
15R72,6Q1/2r5/2r3kP/3p1pp1/3Pq1N1/4P1K1/5P2/R7 b - - 2 40,g6h5 a1h1 e4h1 g8e8 c6g6 g4f6 h5h6 e8h8 c7h7 h8h7,2256,['endgame' 'mate' 'mateIn5' 'pin' 'sacrifice' 'veryLong']
16hgq,r4rk1/p5pp/1np1Pp2/8/5B2/6Q1/2P1q2P/2KR2R1 b - - 1 25,g7g6 g3g6 h7g6 g1g6 g8h8 g6h6 h8g7 d1g1 e2g4 g1g4,2026,"['master' 'masterVsMaster' 'mate' 'mateIn5' 'middlegame' 'sacrifice'
 'veryLong']"
17UgR,8/2r2qk1/RQ3n1p/4p1p1/3pP3/B4P1P/6P1/7K w - - 8 36,a3d6 c7c1 h1h2 f6g4 h3g4 f7f4 g2g3 f4d2 h2h3 c1h1,2048,['clearance' 'endgame' 'mate' 'mateIn5' 'sacrifice' 'veryLong']
196aO,r3r1k1/pppq1pp1/6n1/6PQ/3p4/P3n1P1/1PPB3R/R5K1 b - - 8 22,d7g4 h5h7 g8f8 d2b4 c7c5 b4c5 e8e7 h7h8 g6h8 h2h8,1786,"['kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'pin' 'sacrifice'
 'veryLong']"
19EYr,r1q5/1ppbkp2/p1Bp4/4p3/2N1P3/2PP1Pp1/PP4P1/2RQR1Kr w - - 1 19,g1h1 c8h8 h1g1 h8h2 g1f1 h2h1 f1e2 h1g2 e2e3 g2f2,1267,['deflection' 'kingsideAttack' 'mate' 'mateIn5' 'middlegame' 'veryLong']
